date,BA
1987-05-20,9.5
1987-05-21,9.5
1987-05-22,9.611111
1987-05-26,9.694445
1987-05-27,10.055555
1987-05-28,10.388889
1987-05-29,10.055555
1987-06-01,10.027778
1987-06-02,10.083333
1987-06-03,10.166667
1987-06-04,10.361111
1987-06-05,10.305555
1987-06-08,10.361111
1987-06-09,10.416667
1987-06-10,10.277778
1987-06-11,10.222222
1987-06-12,10.305555
1987-06-15,10.583333
1987-06-16,10.611111
1987-06-17,10.666667
1987-06-18,10.722222
1987-06-19,10.75
1987-06-22,10.777778
1987-06-23,10.527778
1987-06-24,10.416667
1987-06-25,10.444445
1987-06-26,10.527778
1987-06-29,10.5
1987-06-30,10.416667
1987-07-01,10.333333
1987-07-02,10.388889
1987-07-06,10.305555
1987-07-07,10.416667
1987-07-08,10.638889
1987-07-09,10.666667
1987-07-10,10.805555
1987-07-13,10.694445
1987-07-14,10.75
1987-07-15,10.638889
1987-07-16,10.583333
1987-07-17,10.638889
1987-07-20,10.583333
1987-07-21,10.555555
1987-07-22,10.555555
1987-07-23,10.583333
1987-07-24,10.527778
1987-07-27,10.361111
1987-07-28,11.944445
1987-07-29,11.75
1987-07-30,11.555555
1987-07-31,11.777778
1987-08-03,11.666667
1987-08-04,11.444445
1987-08-05,11.555555
1987-08-06,11.583333
1987-08-07,11.388889
1987-08-10,11.361111
1987-08-11,11.472222
1987-08-12,11.777778
1987-08-13,11.833333
1987-08-14,11.5
1987-08-17,11.583333
1987-08-18,11.444445
1987-08-19,11.555555
1987-08-20,11.555555
1987-08-21,11.527778
1987-08-24,11.833333
1987-08-25,11.805555
1987-08-26,11.777778
1987-08-27,11.722222
1987-08-28,11.583333
1987-08-31,11.722222
1987-09-01,11.472222
1987-09-02,11.277778
1987-09-03,11.333333
1987-09-04,11.166667
1987-09-08,11.055555
1987-09-09,11.055555
1987-09-10,11.111111
1987-09-11,11.25
1987-09-14,11.416667
1987-09-15,11.361111
1987-09-16,11.111111
1987-09-17,11.111111
1987-09-18,11.083333
1987-09-21,11.166667
1987-09-22,11.305555
1987-09-23,11.277778
1987-09-24,11.222222
1987-09-25,11.277778
1987-09-28,11.472222
1987-09-29,11.361111
1987-09-30,11.305555
1987-10-01,11.277778
1987-10-02,11.361111
1987-10-05,11.388889
1987-10-06,11.194445
1987-10-07,11.166667
1987-10-08,11.0
1987-10-09,10.888889
1987-10-12,10.833333
1987-10-13,10.861111
1987-10-14,10.694445
1987-10-15,10.416667
1987-10-16,9.694445
1987-10-19,8.555555
1987-10-20,8.666667
1987-10-21,9.222222
1987-10-22,8.944445
1987-10-23,8.777778
1987-10-26,8.25
1987-10-27,8.027778
1987-10-28,8.222222
1987-10-29,8.444445
1987-10-30,8.583333
1987-11-02,8.555555
1987-11-03,8.333333
1987-11-04,8.333333
1987-11-05,8.166667
1987-11-06,8.0
1987-11-09,7.861111
1987-11-10,7.805555
1987-11-11,7.722222
1987-11-12,7.8333330000000005
1987-11-13,8.0
1987-11-16,8.083333
1987-11-17,8.027778
1987-11-18,8.222222
1987-11-19,8.055555
1987-11-20,8.111111
1987-11-23,8.0
1987-11-24,8.0
1987-11-25,7.888889
1987-11-27,7.888889
1987-11-30,7.638889
1987-12-01,7.8333330000000005
1987-12-02,7.972222
1987-12-03,7.805555
1987-12-04,7.694445
1987-12-07,7.722222
1987-12-08,7.777778
1987-12-09,7.888889
1987-12-10,8.0
1987-12-11,7.9166669999999995
1987-12-14,7.861111
1987-12-15,8.166667
1987-12-16,8.333333
1987-12-17,8.055555
1987-12-18,8.416667
1987-12-21,8.694445
1987-12-22,8.777778
1987-12-23,8.694445
1987-12-24,8.694445
1987-12-28,8.527778
1987-12-29,8.416667
1987-12-30,8.388889
1987-12-31,8.222222
1988-01-04,8.611111
1988-01-05,8.944445
1988-01-06,9.222222
1988-01-07,9.333333
1988-01-08,8.722222
1988-01-11,9.055555
1988-01-12,9.277778
1988-01-13,9.333333
1988-01-14,9.277778
1988-01-15,9.527778
1988-01-18,9.5
1988-01-19,9.527778
1988-01-20,9.361111
1988-01-21,9.222222
1988-01-22,9.527778
1988-01-25,10.0
1988-01-26,9.944445
1988-01-27,9.777778
1988-01-28,9.944445
1988-01-29,10.166667
1988-02-01,10.277778
1988-02-02,10.222222
1988-02-03,10.25
1988-02-04,10.277778
1988-02-05,10.166667
1988-02-08,9.944445
1988-02-09,10.194445
1988-02-10,10.444445
1988-02-11,10.444445
1988-02-12,10.527778
1988-02-16,10.638889
1988-02-17,10.611111
1988-02-18,10.444445
1988-02-19,10.638889
1988-02-22,10.666667
1988-02-23,10.611111
1988-02-24,10.638889
1988-02-25,10.666667
1988-02-26,10.555555
1988-02-29,10.555555
1988-03-01,10.444445
1988-03-02,10.222222
1988-03-03,10.333333
1988-03-04,10.416667
1988-03-07,10.527778
1988-03-08,10.527778
1988-03-09,10.555555
1988-03-10,10.583333
1988-03-11,10.555555
1988-03-14,10.638889
1988-03-15,10.833333
1988-03-16,10.777778
1988-03-17,10.861111
1988-03-18,11.0
1988-03-21,10.833333
1988-03-22,10.777778
1988-03-23,10.527778
1988-03-24,10.305555
1988-03-25,10.444445
1988-03-28,10.388889
1988-03-29,10.472222
1988-03-30,10.333333
1988-03-31,10.333333
1988-04-04,9.972222
1988-04-05,10.222222
1988-04-06,10.5
1988-04-07,10.388889
1988-04-08,10.527778
1988-04-11,10.527778
1988-04-12,10.527778
1988-04-13,10.527778
1988-04-14,10.222222
1988-04-15,10.25
1988-04-18,10.083333
1988-04-19,10.0
1988-04-20,10.0
1988-04-21,10.083333
1988-04-22,10.138889
1988-04-25,10.444445
1988-04-26,10.416667
1988-04-27,10.472222
1988-04-28,10.722222
1988-04-29,10.666667
1988-05-02,10.722222
1988-05-03,11.0
1988-05-04,10.916667
1988-05-05,10.833333
1988-05-06,10.888889
1988-05-09,10.805555
1988-05-10,10.861111
1988-05-11,10.75
1988-05-12,10.75
1988-05-13,11.055555
1988-05-16,11.138889
1988-05-17,11.222222
1988-05-18,11.0
1988-05-19,10.888889
1988-05-20,11.222222
1988-05-23,11.5
1988-05-24,11.972222
