date,CAT
1987-05-20,6.375
1987-05-21,6.40625
1987-05-22,6.4375
1987-05-26,6.609375
1987-05-27,6.734375
1987-05-28,6.734375
1987-05-29,6.484375
1987-06-01,6.609375
1987-06-02,6.609375
1987-06-03,6.609375
1987-06-04,6.625
1987-06-05,6.53125
1987-06-08,6.640625
1987-06-09,6.734375
1987-06-10,6.6875
1987-06-11,6.765625
1987-06-12,6.84375
1987-06-15,6.734375
1987-06-16,6.78125
1987-06-17,6.8125
1987-06-18,6.765625
1987-06-19,6.875
1987-06-22,6.921875
1987-06-23,6.90625
1987-06-24,6.859375
1987-06-25,7.0
1987-06-26,6.953125
1987-06-29,6.796875
1987-06-30,6.6875
1987-07-01,6.578125
1987-07-02,6.59375
1987-07-06,6.484375
1987-07-07,6.46875
1987-07-08,6.65625
1987-07-09,6.828125
1987-07-10,7.28125
1987-07-13,7.484375
1987-07-14,7.515625
1987-07-15,7.375
1987-07-16,7.46875
1987-07-17,7.875
1987-07-20,7.78125
1987-07-21,7.6875
1987-07-22,7.84375
1987-07-23,7.84375
1987-07-24,7.875
1987-07-27,8.09375
1987-07-28,8.140625
1987-07-29,8.078125
1987-07-30,8.125
1987-07-31,8.109375
1987-08-03,8.09375
1987-08-04,7.96875
1987-08-05,7.984375
1987-08-06,8.03125
1987-08-07,8.171875
1987-08-10,8.1875
1987-08-11,8.1875
1987-08-12,8.296875
1987-08-13,8.28125
1987-08-14,8.1875
1987-08-17,8.3125
1987-08-18,8.125
1987-08-19,8.078125
1987-08-20,8.1875
1987-08-21,8.3125
1987-08-24,8.1875
1987-08-25,8.1875
1987-08-26,8.09375
1987-08-27,7.828125
1987-08-28,7.75
1987-08-31,7.734375
1987-09-01,7.6875
1987-09-02,7.640625
1987-09-03,7.59375
1987-09-04,7.703125
1987-09-08,8.0625
1987-09-09,8.21875
1987-09-10,8.4375
1987-09-11,8.625
1987-09-14,8.65625
1987-09-15,8.453125
1987-09-16,8.34375
1987-09-17,8.3125
1987-09-18,8.484375
1987-09-21,8.515625
1987-09-22,8.65625
1987-09-23,8.921875
1987-09-24,9.171875
1987-09-25,9.03125
1987-09-28,9.125
1987-09-29,9.140625
1987-09-30,9.1875
1987-10-01,9.21875
1987-10-02,9.171875
1987-10-05,9.234375
1987-10-06,8.96875
1987-10-07,8.859375
1987-10-08,8.8125
1987-10-09,8.703125
1987-10-12,8.515625
1987-10-13,8.75
1987-10-14,8.5625
