date,Copper_Price
1987-05-20,0.665
1987-05-21,0.666
1987-05-22,0.667
1987-05-26,0.649
1987-05-27,0.6545
1987-05-28,0.661
1987-05-29,0.659
1987-06-01,0.669
1987-06-02,0.693
1987-06-03,0.684
1987-06-04,0.6975
1987-06-05,0.6905
1987-06-08,0.6965
1987-06-09,0.701
1987-06-10,0.6965
1987-06-11,0.71
1987-06-12,0.71
1987-06-15,0.71
1987-06-16,0.708
1987-06-17,0.7
1987-06-18,0.698
1987-06-19,0.6855
1987-06-22,0.681
1987-06-23,0.689
1987-06-24,0.699
1987-06-25,0.7135
1987-06-26,0.7122
1987-06-29,0.7059
1987-06-30,0.7163
1987-07-01,0.728
1987-07-02,0.7385
1987-07-06,0.7485
1987-07-07,0.7515
1987-07-08,0.7445
1987-07-09,0.7535
1987-07-10,0.748
1987-07-13,0.745
1987-07-14,0.733
1987-07-15,0.72
1987-07-16,0.735
1987-07-17,0.7195
1987-07-20,0.7235
1987-07-21,0.7335
1987-07-22,0.748
1987-07-23,0.751
1987-07-24,0.754
1987-07-27,0.7495
1987-07-28,0.7685
1987-07-29,0.767
1987-07-30,0.78
1987-07-31,0.7815
1987-08-03,0.781
1987-08-04,0.7835
1987-08-05,0.7765
1987-08-06,0.7685
1987-08-07,0.773
1987-08-10,0.786
1987-08-11,0.794
1987-08-12,0.789
1987-08-13,0.775
1987-08-14,0.7805
1987-08-17,0.786
1987-08-18,0.78
1987-08-19,0.777
1987-08-20,0.7735
1987-08-21,0.7455
1987-08-24,0.7605
1987-08-25,0.75
1987-08-26,0.7531
1987-08-27,0.759
1987-08-28,0.7475
1987-08-31,0.7549
1987-09-01,0.7495
1987-09-02,0.742
1987-09-03,0.745
1987-09-04,0.759
1987-09-08,0.7915
1987-09-09,0.7845
1987-09-10,0.797
1987-09-11,0.802
1987-09-14,0.7985
1987-09-15,0.792
1987-09-16,0.8075
1987-09-17,0.822
1987-09-18,0.817
1987-09-21,0.8115
1987-09-22,0.802
1987-09-23,0.812
1987-09-24,0.8085
1987-09-25,0.8175
1987-09-28,0.8155
1987-09-29,0.8115
1987-09-30,0.7975
1987-10-01,0.7955
1987-10-02,0.815
1987-10-05,0.833
1987-10-06,0.83
1987-10-07,0.834
1987-10-08,0.8385
1987-10-09,0.849
1987-10-12,0.857
1987-10-13,0.8525
1987-10-14,0.865
1987-10-15,0.8735
1987-10-16,0.879
1987-10-19,0.8455
1987-10-20,0.746
1987-10-21,0.78
1987-10-22,0.799
1987-10-23,0.817
1987-10-26,0.7895
1987-10-27,0.8025
1987-10-28,0.81
1987-10-29,0.7965
1987-10-30,0.8215
1987-11-02,0.8605
1987-11-03,0.856
1987-11-04,0.8925
1987-11-05,0.899
1987-11-06,0.955
1987-11-09,0.947
1987-11-10,1.024
1987-11-11,1.041
1987-11-12,1.022
1987-11-13,1.026
1987-11-16,0.983
1987-11-17,1.001
1987-11-18,1.039
1987-11-19,1.076
1987-11-20,1.06
