date,ExxonMobil
1987-05-20,10.921875
1987-05-21,10.90625
1987-05-22,10.84375
1987-05-26,10.984375
1987-05-27,10.9375
1987-05-28,10.9375
1987-05-29,10.875
1987-06-01,10.90625
1987-06-02,10.90625
1987-06-03,11.03125
1987-06-04,11.0625
1987-06-05,10.90625
1987-06-08,10.9375
1987-06-09,10.859375
1987-06-10,10.921875
1987-06-11,11.015625
1987-06-12,11.171875
1987-06-15,11.171875
1987-06-16,11.1875
1987-06-17,11.21875
1987-06-18,11.234375
1987-06-19,11.265625
1987-06-22,11.453125
1987-06-23,11.40625
1987-06-24,11.359375
1987-06-25,11.453125
1987-06-26,11.4375
1987-06-29,11.703125
1987-06-30,11.65625
1987-07-01,11.53125
1987-07-02,11.59375
1987-07-06,11.671875
1987-07-07,11.859375
1987-07-08,11.859375
1987-07-09,11.796875
1987-07-10,11.765625
1987-07-13,11.71875
1987-07-14,11.75
1987-07-15,11.75
1987-07-16,11.84375
1987-07-17,11.921875
1987-07-20,11.875
1987-07-21,11.75
1987-07-22,11.546875
1987-07-23,11.625
1987-07-24,11.609375
1987-07-27,11.5
1987-07-28,11.5
1987-07-29,11.5
1987-07-30,11.671875
1987-07-31,11.765625
1987-08-03,12.1875
1987-08-04,12.140625
1987-08-05,12.078125
1987-08-06,12.09375
1987-08-07,11.921875
1987-08-10,12.28125
1987-08-11,12.53125
1987-08-12,12.375
1987-08-13,12.21875
1987-08-14,12.15625
1987-08-17,12.234375
1987-08-18,12.1875
1987-08-19,12.25
1987-08-20,12.4375
1987-08-21,12.375
1987-08-24,12.234375
1987-08-25,12.28125
1987-08-26,12.234375
1987-08-27,12.25
1987-08-28,12.25
1987-08-31,12.453125
1987-09-01,12.1875
1987-09-02,12.109375
1987-09-03,12.203125
1987-09-04,12.125
1987-09-08,12.125
1987-09-09,12.0
1987-09-10,11.90625
1987-09-11,11.96875
1987-09-14,11.75
1987-09-15,11.6875
1987-09-16,11.5
1987-09-17,11.4375
1987-09-18,11.5
1987-09-21,11.5625
1987-09-22,12.25
1987-09-23,12.1875
1987-09-24,11.96875
1987-09-25,12.15625
1987-09-28,12.40625
1987-09-29,12.3125
1987-09-30,12.15625
1987-10-01,12.40625
1987-10-02,12.4375
1987-10-05,12.4375
1987-10-06,12.03125
1987-10-07,11.90625
1987-10-08,11.75
1987-10-09,12.0
1987-10-12,11.9375
1987-10-13,12.28125
1987-10-14,11.78125
1987-10-15,11.6875
1987-10-16,10.9375
1987-10-19,8.375
1987-10-20,9.875
1987-10-21,10.9375
1987-10-22,10.875
1987-10-23,11.21875
1987-10-26,10.28125
1987-10-27,10.75
1987-10-28,10.1875
1987-10-29,10.3125
1987-10-30,10.65625
1987-11-02,10.90625
1987-11-03,10.875
