date,Heating_Oil_Spot_Price
2018-11-05,2.169
2018-11-02,2.153
2018-11-01,2.182
2018-10-31,2.235
2018-10-30,2.245
2018-10-29,2.258
2018-10-26,2.287
2018-10-25,2.258
2018-10-24,2.22
2018-10-23,2.228
2018-10-22,2.31
2018-10-19,2.292
2018-10-18,2.283
2018-10-17,2.299
2018-10-16,2.318
2018-10-15,2.3040000000000003
2018-10-12,2.307
2018-10-11,2.309
2018-10-10,2.367
2018-10-09,2.399
2018-10-08,2.37
2018-10-05,2.3680000000000003
2018-10-04,2.379
2018-10-03,2.41
2018-10-02,2.372
2018-10-01,2.3890000000000002
2018-09-28,2.33
2018-09-27,2.298
2018-09-26,2.2880000000000003
2018-09-25,2.2769999999999997
2018-09-24,2.263
2018-09-21,2.197
2018-09-20,2.199
2018-09-19,2.219
2018-09-18,2.209
2018-09-17,2.18
2018-09-14,2.182
2018-09-13,2.2
2018-09-12,2.233
2018-09-11,2.229
2018-09-10,2.1919999999999997
2018-09-07,2.193
2018-09-06,2.186
2018-09-05,2.205
2018-09-04,2.214
2018-08-31,2.215
2018-08-30,2.2159999999999997
2018-08-29,2.219
2018-08-28,2.184
2018-08-27,2.185
2018-08-24,2.171
2018-08-23,2.149
2018-08-22,2.144
2018-08-21,2.096
2018-08-20,2.082
2018-08-17,2.0709999999999997
2018-08-16,2.066
2018-08-15,2.062
2018-08-14,2.101
2018-08-13,2.112
2018-08-10,2.115
2018-08-09,2.085
2018-08-08,2.081
2018-08-07,2.1319999999999997
2018-08-06,2.109
2018-08-03,2.102
2018-08-02,2.097
2018-08-01,2.0709999999999997
2018-07-31,2.1109999999999998
2018-07-30,2.14
2018-07-27,2.129
2018-07-26,2.142
2018-07-25,2.117
2018-07-24,2.095
2018-07-23,2.083
2018-07-20,2.068
2018-07-19,2.056
2018-07-18,2.0580000000000003
2018-07-17,2.032
2018-07-16,2.0269999999999997
2018-07-13,2.0980000000000003
2018-07-12,2.088
2018-07-11,2.082
2018-07-10,2.1919999999999997
2018-07-09,2.1719999999999997
2018-07-06,2.142
2018-07-05,2.158
2018-07-03,2.134
2018-07-02,2.117
2018-06-29,2.168
2018-06-28,2.134
2018-06-27,2.133
2018-06-26,2.1
2018-06-25,2.077
2018-06-22,2.092
2018-06-21,2.049
2018-06-20,2.069
2018-06-19,2.0909999999999997
2018-06-18,2.1
2018-06-15,2.052
2018-06-14,2.129
2018-06-13,2.154
2018-06-12,2.123
2018-06-11,2.129
2018-06-08,2.129
2018-06-07,2.147
2018-06-06,2.1069999999999998
2018-06-05,2.104
2018-06-04,2.122
2018-06-01,2.144
2018-05-31,2.177
2018-05-30,2.2
2018-05-29,2.153
2018-05-25,2.1719999999999997
2018-05-24,2.234
2018-05-23,2.26
2018-05-22,2.245
2018-05-21,2.252
2018-05-18,2.242
2018-05-17,2.256
2018-05-16,2.2359999999999998
2018-05-15,2.213
2018-05-14,2.225
2018-05-11,2.199
2018-05-10,2.1959999999999997
2018-05-09,2.1919999999999997
2018-05-08,2.148
2018-05-07,2.146
2018-05-04,2.13
2018-05-03,2.095
2018-05-02,2.09
2018-05-01,2.076
2018-04-30,2.128
2018-04-27,2.105
2018-04-26,2.126
2018-04-25,2.104
2018-04-24,2.099
2018-04-23,2.081
2018-04-20,2.086
2018-04-19,2.085
2018-04-18,2.069
2018-04-17,2.023
2018-04-16,2.0380000000000003
2018-04-13,2.066
2018-04-12,2.049
2018-04-11,2.06
2018-04-10,2.0269999999999997
2018-04-09,1.9569999999999999
2018-04-06,1.915
2018-04-05,1.9340000000000002
2018-04-04,1.9380000000000002
2018-04-03,1.95
2018-04-02,1.9409999999999998
2018-03-29,1.97
2018-03-28,1.965
2018-03-27,1.965
2018-03-26,1.9680000000000002
2018-03-23,1.982
2018-03-22,1.9580000000000002
2018-03-21,1.9809999999999999
2018-03-20,1.89
2018-03-19,1.8630000000000002
2018-03-16,1.859
2018-03-15,1.8430000000000002
2018-03-14,1.834
2018-03-13,1.8230000000000002
2018-03-12,1.778
2018-03-09,1.795
2018-03-08,1.784
2018-03-07,1.7990000000000002
2018-03-06,1.7990000000000002
2018-03-05,1.794
2018-03-02,1.807
2018-03-01,1.808
2018-02-28,1.815
2018-02-27,1.886
2018-02-26,1.899
2018-02-23,1.881
2018-02-22,1.847
2018-02-21,1.82
2018-02-20,1.8230000000000002
2018-02-16,1.835
2018-02-15,1.8159999999999998
2018-02-14,1.807
2018-02-13,1.77
2018-02-12,1.77
2018-02-09,1.7830000000000001
2018-02-08,1.811
2018-02-07,1.849
2018-02-06,1.9080000000000001
2018-02-05,1.929
2018-02-02,1.962
2018-02-01,2.016
2018-01-31,2.004
2018-01-30,2.0069999999999997
2018-01-29,2.029
2018-01-26,2.064
2018-01-25,2.036
2018-01-24,2.043
2018-01-23,2.033
2018-01-22,2.0
2018-01-19,1.999
2018-01-18,2.002
2018-01-17,2.006
2018-01-16,2.012
2018-01-12,2.0340000000000003
2018-01-11,2.023
2018-01-10,2.024
2018-01-09,2.0140000000000002
2018-01-08,2.0
2018-01-05,2.011
2018-01-04,2.015
2018-01-03,2.03
2018-01-02,1.983
2017-12-29,1.993
2017-12-28,1.973
2017-12-27,1.9509999999999998
2017-12-26,1.9580000000000002
2017-12-22,1.8840000000000001
2017-12-21,1.8630000000000002
2017-12-20,1.86
2017-12-19,1.8530000000000002
2017-12-18,1.84
2017-12-15,1.82
2017-12-14,1.829
2017-12-13,1.824
2017-12-12,1.8519999999999999
2017-12-11,1.855
2017-12-08,1.834
2017-12-07,1.8
2017-12-06,1.7690000000000001
2017-12-05,1.828
2017-12-04,1.8019999999999998
2017-12-01,1.85
2017-11-30,1.8019999999999998
2017-11-29,1.8330000000000002
2017-11-28,1.8559999999999999
2017-11-27,1.8530000000000002
2017-11-24,1.857
2017-11-22,1.8419999999999999
2017-11-21,1.84
2017-11-20,1.838
2017-11-17,1.838
2017-11-16,1.81
2017-11-15,1.804
2017-11-14,1.7930000000000001
2017-11-13,1.83
2017-11-10,1.835
2017-11-09,1.8330000000000002
2017-11-08,1.808
2017-11-07,1.827
2017-11-06,1.831
2017-11-03,1.791
2017-11-02,1.7690000000000001
2017-11-01,1.767
2017-10-31,1.7890000000000001
2017-10-30,1.788
2017-10-27,1.7830000000000001
2017-10-26,1.751
2017-10-25,1.739
2017-10-24,1.745
2017-10-23,1.702
2017-10-20,1.7269999999999999
2017-10-19,1.7080000000000002
2017-10-18,1.703
2017-10-17,1.7080000000000002
2017-10-16,1.703
2017-10-13,1.675
2017-10-12,1.65
2017-10-11,1.66
2017-10-10,1.6540000000000001
2017-10-09,1.6230000000000002
2017-10-06,1.67
2017-10-05,1.719
2017-10-04,1.704
2017-10-03,1.6840000000000002
2017-10-02,1.669
2017-09-29,1.798
2017-09-28,1.8159999999999998
2017-09-27,1.746
2017-09-26,1.7630000000000001
2017-09-25,1.76
2017-09-22,1.71
2017-09-21,1.72
2017-09-20,1.71
2017-09-19,1.68
2017-09-18,1.705
2017-09-15,1.703
2017-09-14,1.7
2017-09-13,1.6119999999999999
2017-09-12,1.656
2017-09-11,1.655
2017-09-08,1.68
2017-09-07,1.699
2017-09-06,1.675
2017-09-05,1.6880000000000002
2017-09-01,1.6969999999999998
2017-08-31,1.649
2017-08-30,1.5119999999999998
