date,LIBOR_Rate
1987-05-20,7.375
1987-05-21,7.25
1987-05-22,7.25
1987-05-26,7.0625
1987-05-27,7.0625
1987-05-28,7.1875
1987-05-29,7.25
1987-06-01,7.125
1987-06-02,7.125
1987-06-03,7.1875
1987-06-04,7.125
1987-06-05,7.125
1987-06-08,7.125
1987-06-09,7.125
1987-06-10,7.140630000000001
1987-06-11,7.125
1987-06-12,7.109380000000001
1987-06-15,7.0625
1987-06-16,7.109380000000001
1987-06-17,7.109380000000001
1987-06-18,7.109380000000001
1987-06-19,7.125
1987-06-22,7.125
1987-06-23,7.125
1987-06-24,7.125
1987-06-25,7.125
1987-06-26,7.171880000000001
1987-06-29,7.125
1987-06-30,7.0625
1987-07-01,7.0
1987-07-02,6.9375
1987-07-03,6.875
1987-07-06,6.84375
1987-07-07,6.875
1987-07-08,6.875
1987-07-09,6.875
1987-07-10,6.875
1987-07-13,6.8125
1987-07-14,6.8125
1987-07-15,6.75
1987-07-16,6.8125
1987-07-17,6.75
1987-07-20,6.75
1987-07-21,6.75
1987-07-22,6.75
1987-07-23,6.8125
1987-07-24,6.8125
1987-07-27,6.8125
1987-07-28,6.8125
1987-07-29,6.765630000000001
1987-07-30,6.75
1987-07-31,6.75
1987-08-03,6.8125
1987-08-04,6.890630000000001
1987-08-05,6.84375
1987-08-06,6.78125
1987-08-07,6.765630000000001
1987-08-10,6.765630000000001
1987-08-11,6.75
1987-08-12,6.703130000000001
1987-08-13,6.6875
1987-08-14,6.6875
1987-08-17,6.75
1987-08-18,6.75
1987-08-19,6.8125
1987-08-20,6.8125
1987-08-21,6.8125
1987-08-24,6.8125
1987-08-25,6.8125
1987-08-26,6.8125
1987-08-27,7.0
1987-08-28,7.125
1987-09-01,7.1875
1987-09-02,7.1875
1987-09-03,7.1875
1987-09-04,7.1875
1987-09-07,7.375
1987-09-08,7.4375
1987-09-09,7.5625
1987-09-10,7.5
1987-09-11,7.5
1987-09-14,7.4375
1987-09-15,7.4375
1987-09-16,7.5625
1987-09-17,7.5625
1987-09-18,7.5625
1987-09-21,7.5625
1987-09-22,7.5625
1987-09-23,7.5625
1987-09-24,7.5625
