date,Oil_Imports
1987-05-22,3822.0
1987-05-29,5135.0
1987-06-05,4067.0
1987-06-12,4467.0
1987-06-19,5643.0
1987-06-26,4642.0
1987-07-03,4680.0
1987-07-10,5100.0
1987-07-17,5133.0
1987-07-24,5242.0
1987-07-31,5976.0
1987-08-07,5279.0
1987-08-14,5605.0
1987-08-21,5771.0
1987-08-28,5072.0
1987-09-04,4820.0
1987-09-11,5414.0
1987-09-18,4360.0
1987-09-25,5075.0
1987-10-02,4963.0
1987-10-09,5097.0
1987-10-16,4618.0
1987-10-23,4423.0
1987-10-30,5742.0
1987-11-06,5717.0
1987-11-13,4481.0
1987-11-20,5385.0
1987-11-27,4955.0
1987-12-04,4501.0
1987-12-11,5472.0
1987-12-18,4623.0
1987-12-25,3975.0
1988-01-01,4316.0
1988-01-08,3756.0
1988-01-15,5858.0
1988-01-22,4039.0
1988-01-29,4762.0
1988-02-05,4740.0
1988-02-12,5032.0
1988-02-19,3783.0
1988-02-26,4826.0
1988-03-04,4651.0
1988-03-11,4379.0
1988-03-18,5031.0
1988-03-25,4797.0
1988-04-01,5122.0
1988-04-08,5859.0
1988-04-15,4286.0
1988-04-22,5229.0
1988-04-29,4404.0
1988-05-06,5297.0
1988-05-13,4508.0
1988-05-20,5785.0
1988-05-27,4787.0
1988-06-03,4521.0
1988-06-10,5463.0
1988-06-17,5157.0
1988-06-24,4100.0
1988-07-01,5036.0
1988-07-08,5225.0
1988-07-15,5281.0
1988-07-22,5144.0
1988-07-29,4590.0
1988-08-05,5601.0
1988-08-12,5170.0
1988-08-19,4403.0
1988-08-26,5314.0
1988-09-02,5246.0
1988-09-09,5333.0
1988-09-16,4091.0
1988-09-23,4671.0
1988-09-30,5692.0
1988-10-07,5309.0
1988-10-14,5038.0
1988-10-21,5036.0
1988-10-28,5089.0
1988-11-04,6338.0
1988-11-11,5891.0
1988-11-18,4468.0
1988-11-25,5029.0
1988-12-02,5308.0
1988-12-09,6156.0
1988-12-16,4884.0
1988-12-23,4615.0
1988-12-30,5611.0
1989-01-06,4899.0
1989-01-13,5316.0
1989-01-20,5985.0
1989-01-27,5606.0
1989-02-03,5397.0
1989-02-10,5226.0
1989-02-17,4528.0
1989-02-24,4738.0
1989-03-03,6402.0
1989-03-10,4728.0
1989-03-17,5321.0
1989-03-24,5134.0
1989-03-31,4664.0
1989-04-07,5772.0
1989-04-14,6101.0
1989-04-21,5347.0
1989-04-28,5836.0
1989-05-05,6086.0
1989-05-12,5832.0
1989-05-19,5528.0
1989-05-26,5370.0
1989-06-02,6437.0
1989-06-09,6104.0
1989-06-16,6180.0
1989-06-23,5646.0
1989-06-30,5465.0
1989-07-07,6301.0
1989-07-14,6909.0
1989-07-21,6697.0
1989-07-28,6660.0
1989-08-04,5302.0
1989-08-11,6697.0
1989-08-18,7259.0
1989-08-25,6381.0
1989-09-01,6784.0
1989-09-08,6491.0
1989-09-15,6336.0
1989-09-22,5826.0
1989-09-29,6709.0
1989-10-06,5946.0
1989-10-13,6466.0
1989-10-20,5557.0
1989-10-27,6779.0
1989-11-03,6420.0
1989-11-10,6155.0
1989-11-17,6191.0
1989-11-24,5942.0
1989-12-01,6053.0
1989-12-08,6137.0
1989-12-15,5894.0
1989-12-22,6423.0
1989-12-29,5763.0
1990-01-05,5654.0
1990-01-12,6591.0
1990-01-19,6463.0
1990-01-26,6144.0
1990-02-02,6708.0
1990-02-09,5488.0
1990-02-16,5479.0
1990-02-23,5968.0
1990-03-02,6107.0
1990-03-09,6235.0
1990-03-16,6129.0
1990-03-23,6315.0
1990-03-30,6021.0
1990-04-06,6247.0
1990-04-13,6056.0
1990-04-20,5715.0
1990-04-27,6649.0
1990-05-04,6177.0
1990-05-11,6136.0
1990-05-18,5925.0
1990-05-25,6704.0
1990-06-01,6407.0
1990-06-08,6181.0
1990-06-15,7484.0
1990-06-22,7594.0
1990-06-29,5862.0
1990-07-06,6309.0
1990-07-13,7067.0
1990-07-20,7341.0
1990-07-27,7312.0
1990-08-03,6705.0
1990-08-10,5828.0
1990-08-17,7143.0
1990-08-24,6565.0
1990-08-31,6896.0
1990-09-07,6838.0
1990-09-14,5809.0
1990-09-21,6214.0
1990-09-28,5254.0
1990-10-05,5161.0
1990-10-12,5170.0
1990-10-19,4855.0
1990-10-26,5129.0
1990-11-02,4917.0
1990-11-09,4419.0
1990-11-16,5637.0
1990-11-23,5610.0
1990-11-30,4532.0
1990-12-07,5007.0
1990-12-14,5236.0
1990-12-21,5445.0
1990-12-28,4468.0
1991-01-04,5536.0
1991-01-11,4866.0
1991-01-18,5053.0
1991-01-25,5122.0
1991-02-01,6212.0
1991-02-08,5542.0
1991-02-15,5527.0
1991-02-22,4934.0
1991-03-01,4983.0
1991-03-08,5430.0
1991-03-15,4912.0
1991-03-22,5388.0
1991-03-29,5279.0
1991-04-05,5454.0
1991-04-12,6290.0
1991-04-19,4663.0
1991-04-26,5418.0
1991-05-03,5294.0
1991-05-10,6471.0
1991-05-17,5895.0
1991-05-24,6177.0
1991-05-31,6633.0
1991-06-07,6958.0
1991-06-14,6093.0
1991-06-21,5937.0
1991-06-28,7128.0
1991-07-05,4904.0
1991-07-12,5984.0
1991-07-19,6589.0
1991-07-26,5773.0
1991-08-02,5780.0
1991-08-09,6690.0
1991-08-16,7270.0
1991-08-23,6431.0
1991-08-30,6143.0
1991-09-06,6513.0
1991-09-13,5818.0
1991-09-20,6676.0
1991-09-27,6521.0
1991-10-04,4814.0
1991-10-11,5587.0
1991-10-18,5849.0
1991-10-25,5785.0
1991-11-01,5025.0
1991-11-08,5877.0
1991-11-15,5983.0
1991-11-22,5927.0
1991-11-29,4403.0
