date,Oil_Input
1987-05-22,12539.0
1987-05-29,12886.0
1987-06-05,12837.0
1987-06-12,12834.0
1987-06-19,13060.0
1987-06-26,13455.0
1987-07-03,13394.0
1987-07-10,13588.0
1987-07-17,13573.0
1987-07-24,13390.0
1987-07-31,13327.0
1987-08-07,13348.0
1987-08-14,13335.0
1987-08-21,13377.0
1987-08-28,13384.0
1987-09-04,13351.0
1987-09-11,13282.0
1987-09-18,13172.0
1987-09-25,13350.0
1987-10-02,13119.0
1987-10-09,12590.0
1987-10-16,12899.0
1987-10-23,12715.0
1987-10-30,12835.0
1987-11-06,12649.0
1987-11-13,12824.0
1987-11-20,13013.0
1987-11-27,13111.0
1987-12-04,13065.0
1987-12-11,12980.0
1987-12-18,13235.0
1987-12-25,13308.0
1988-01-01,13323.0
1988-01-08,13000.0
1988-01-15,12926.0
1988-01-22,12978.0
1988-01-29,13164.0
1988-02-05,12934.0
1988-02-12,12880.0
1988-02-19,12668.0
1988-02-26,12642.0
1988-03-04,12809.0
1988-03-11,12891.0
1988-03-18,13089.0
1988-03-25,13190.0
1988-04-01,13064.0
1988-04-08,12995.0
1988-04-15,13165.0
1988-04-22,13351.0
1988-04-29,13097.0
1988-05-06,13194.0
1988-05-13,13331.0
1988-05-20,13426.0
1988-05-27,13373.0
1988-06-03,13800.0
1988-06-10,13616.0
1988-06-17,13333.0
1988-06-24,13559.0
1988-07-01,13375.0
1988-07-08,13491.0
1988-07-15,13498.0
1988-07-22,13690.0
1988-07-29,13725.0
1988-08-05,13781.0
1988-08-12,13686.0
1988-08-19,13665.0
1988-08-26,13855.0
1988-09-02,14031.0
1988-09-09,14089.0
1988-09-16,13221.0
1988-09-23,12708.0
1988-09-30,13332.0
1988-10-07,13100.0
1988-10-14,13191.0
1988-10-21,13157.0
1988-10-28,12913.0
1988-11-04,13130.0
1988-11-11,12951.0
1988-11-18,13085.0
1988-11-25,13290.0
1988-12-02,13345.0
1988-12-09,13333.0
1988-12-16,13638.0
1988-12-23,13221.0
1988-12-30,13533.0
1989-01-06,13354.0
1989-01-13,13489.0
1989-01-20,13493.0
1989-01-27,13424.0
1989-02-03,13522.0
1989-02-10,13084.0
1989-02-17,12860.0
1989-02-24,12609.0
1989-03-03,12582.0
