date,Oil_Production
1987-05-22,8296.0
1987-05-29,8296.0
1987-06-05,8303.0
1987-06-12,8303.0
1987-06-19,8303.0
1987-06-26,8303.0
1987-07-03,8287.0
1987-07-10,8287.0
1987-07-17,8287.0
1987-07-24,8287.0
1987-07-31,8287.0
1987-08-07,8204.0
1987-08-14,8204.0
1987-08-21,8204.0
1987-08-28,8204.0
1987-09-04,8162.0
1987-09-11,8162.0
1987-09-18,8162.0
1987-09-25,8162.0
1987-10-02,8281.0
1987-10-09,8281.0
1987-10-16,8281.0
1987-10-23,8281.0
1987-10-30,8281.0
1987-11-06,8283.0
1987-11-13,8283.0
1987-11-20,8283.0
1987-11-27,8283.0
1987-12-04,8348.0
1987-12-11,8348.0
1987-12-18,8348.0
1987-12-25,8348.0
1988-01-01,8348.0
1988-01-08,8395.0
1988-01-15,8395.0
1988-01-22,8395.0
1988-01-29,8395.0
1988-02-05,8353.0
1988-02-12,8353.0
1988-02-19,8353.0
1988-02-26,8353.0
1988-03-04,8306.0
1988-03-11,8306.0
1988-03-18,8306.0
1988-03-25,8306.0
1988-04-01,8306.0
1988-04-08,8269.0
1988-04-15,8269.0
1988-04-22,8269.0
1988-04-29,8269.0
1988-05-06,8240.0
1988-05-13,8240.0
1988-05-20,8240.0
1988-05-27,8240.0
1988-06-03,8210.0
1988-06-10,8210.0
1988-06-17,8210.0
1988-06-24,8210.0
1988-07-01,8210.0
1988-07-08,8189.0
1988-07-15,8189.0
1988-07-22,8189.0
1988-07-29,8189.0
1988-08-05,8128.0
1988-08-12,8128.0
1988-08-19,8128.0
1988-08-26,8128.0
1988-09-02,8147.0
1988-09-09,8147.0
1988-09-16,8147.0
1988-09-23,8147.0
1988-09-30,8147.0
1988-10-07,8085.0
1988-10-14,8085.0
1988-10-21,8085.0
1988-10-28,8085.0
1988-11-04,8026.0
1988-11-11,8026.0
1988-11-18,8026.0
1988-11-25,8026.0
1988-12-02,8035.0
1988-12-09,8035.0
1988-12-16,8035.0
1988-12-23,8035.0
1988-12-30,8035.0
1989-01-06,8021.0
1989-01-13,8021.0
1989-01-20,8021.0
1989-01-27,8021.0
1989-02-03,7965.0
1989-02-10,7965.0
1989-02-17,7965.0
1989-02-24,7965.0
1989-03-03,7921.0
1989-03-10,7921.0
1989-03-17,7921.0
1989-03-24,7921.0
1989-03-31,7921.0
1989-04-07,7880.0
1989-04-14,7880.0
1989-04-21,7880.0
1989-04-28,7880.0
1989-05-05,7843.0
1989-05-12,7843.0
1989-05-19,7843.0
1989-05-26,7843.0
1989-06-02,7726.0
1989-06-09,7726.0
1989-06-16,7726.0
1989-06-23,7726.0
1989-06-30,7726.0
1989-07-07,7622.0
1989-07-14,7622.0
1989-07-21,7622.0
1989-07-28,7622.0
1989-08-04,7662.0
1989-08-11,7662.0
1989-08-18,7662.0
1989-08-25,7662.0
1989-09-01,7662.0
1989-09-08,7641.0
1989-09-15,7641.0
1989-09-22,7641.0
1989-09-29,7641.0
1989-10-06,7644.0
1989-10-13,7644.0
1989-10-20,7644.0
1989-10-27,7644.0
1989-11-03,7601.0
1989-11-10,7601.0
1989-11-17,7601.0
1989-11-24,7601.0
1989-12-01,7601.0
1989-12-08,7565.0
1989-12-15,7565.0
1989-12-22,7565.0
1989-12-29,7565.0
1990-01-05,7512.0
1990-01-12,7512.0
1990-01-19,7512.0
1990-01-26,7512.0
1990-02-02,7399.0
1990-02-09,7399.0
1990-02-16,7399.0
1990-02-23,7399.0
1990-03-02,7411.0
1990-03-09,7411.0
1990-03-16,7411.0
1990-03-23,7411.0
1990-03-30,7411.0
1990-04-06,7310.0
1990-04-13,7310.0
1990-04-20,7310.0
1990-04-27,7310.0
1990-05-04,7241.0
1990-05-11,7241.0
1990-05-18,7241.0
1990-05-25,7241.0
1990-06-01,7241.0
1990-06-08,6981.0
1990-06-15,6981.0
1990-06-22,6981.0
1990-06-29,6981.0
1990-07-06,7130.0
1990-07-13,7130.0
1990-07-20,7130.0
1990-07-27,7130.0
1990-08-03,6971.0
1990-08-10,6971.0
1990-08-17,6971.0
1990-08-24,6971.0
1990-08-31,6971.0
1990-09-07,6991.0
1990-09-14,6991.0
1990-09-21,7041.0
1990-09-28,7041.0
1990-10-05,7261.0
1990-10-12,7261.0
1990-10-19,7261.0
1990-10-26,7329.0
1990-11-02,7342.0
1990-11-09,7284.0
1990-11-16,6910.0
1990-11-23,7440.0
1990-11-30,7235.0
1990-12-07,6996.0
1990-12-14,7474.0
1990-12-21,7245.0
1990-12-28,7559.0
1991-01-04,7481.0
1991-01-11,7475.0
1991-01-18,7461.0
1991-01-25,7219.0
1991-02-01,7477.0
1991-02-08,7463.0
1991-02-15,7427.0
1991-02-22,7415.0
1991-03-01,7404.0
1991-03-08,7394.0
1991-03-15,7412.0
1991-03-22,7385.0
1991-03-29,7383.0
1991-04-05,7356.0
1991-04-12,7334.0
1991-04-19,7370.0
1991-04-26,7346.0
1991-05-03,7295.0
1991-05-10,7303.0
1991-05-17,7280.0
1991-05-24,7336.0
1991-05-31,7323.0
1991-06-07,7301.0
1991-06-14,7359.0
1991-06-21,7338.0
1991-06-28,7377.0
1991-07-05,7383.0
1991-07-12,7365.0
1991-07-19,7348.0
1991-07-26,7355.0
1991-08-02,7342.0
1991-08-09,7228.0
1991-08-16,7302.0
1991-08-23,7215.0
1991-08-30,7274.0
1991-09-06,7150.0
1991-09-13,7267.0
1991-09-20,7327.0
1991-09-27,7365.0
1991-10-04,7381.0
1991-10-11,7387.0
1991-10-18,7381.0
1991-10-25,7384.0
1991-11-01,7359.0
1991-11-08,7140.0
1991-11-15,7426.0
1991-11-22,7388.0
1991-11-29,7226.0
1991-12-06,7376.0
1991-12-13,6731.0
1991-12-20,7451.0
1991-12-27,7449.0
1992-01-03,7422.0
1992-01-10,7410.0
1992-01-17,7235.0
1992-01-24,7343.0
1992-01-31,7357.0
1992-02-07,7382.0
1992-02-14,7364.0
1992-02-21,7329.0
1992-02-28,7365.0
1992-03-06,7357.0
1992-03-13,7345.0
1992-03-20,7324.0
1992-03-27,7283.0
1992-04-03,7327.0
1992-04-10,7277.0
1992-04-17,7353.0
1992-04-24,7238.0
1992-05-01,7235.0
1992-05-08,7248.0
1992-05-15,7160.0
1992-05-22,7205.0
1992-05-29,7219.0
1992-06-05,7240.0
1992-06-12,7228.0
1992-06-19,7218.0
1992-06-26,7194.0
1992-07-03,7221.0
1992-07-10,7125.0
1992-07-17,7144.0
1992-07-24,7095.0
1992-07-31,7059.0
1992-08-07,7124.0
1992-08-14,6990.0
1992-08-21,7120.0
1992-08-28,6678.0
1992-09-04,6847.0
1992-09-11,6955.0
1992-09-18,7012.0
1992-09-25,7049.0
1992-10-02,7046.0
1992-10-09,7011.0
1992-10-16,7032.0
1992-10-23,7036.0
1992-10-30,7041.0
1992-11-06,7011.0
1992-11-13,6954.0
1992-11-20,6987.0
1992-11-27,7064.0
1992-12-04,7074.0
1992-12-11,7087.0
1992-12-18,7098.0
1992-12-25,7053.0
1993-01-01,6995.0
1993-01-08,7015.0
1993-01-15,6994.0
1993-01-22,7043.0
1993-01-29,7035.0
1993-02-05,7031.0
1993-02-12,7033.0
1993-02-19,6960.0
1993-02-26,6981.0
1993-03-05,7018.0
1993-03-12,6981.0
1993-03-19,6979.0
1993-03-26,6964.0
1993-04-02,6971.0
1993-04-09,6883.0
1993-04-16,6896.0
1993-04-23,6912.0
1993-04-30,6913.0
1993-05-07,6902.0
1993-05-14,6846.0
1993-05-21,6818.0
1993-05-28,6842.0
1993-06-04,6789.0
1993-06-11,6817.0
1993-06-18,6766.0
1993-06-25,6749.0
1993-07-02,6742.0
1993-07-09,6772.0
1993-07-16,6643.0
1993-07-23,6540.0
1993-07-30,6730.0
1993-08-06,6753.0
1993-08-13,6761.0
1993-08-20,6774.0
1993-08-27,6790.0
1993-09-03,6734.0
1993-09-10,6665.0
1993-09-17,6706.0
1993-09-24,6650.0
1993-10-01,6684.0
1993-10-08,6654.0
1993-10-15,6772.0
1993-10-22,6837.0
1993-10-29,6868.0
1993-11-05,6872.0
1993-11-12,6882.0
1993-11-19,6847.0
1993-11-26,6878.0
1993-12-03,6943.0
1993-12-10,6923.0
1993-12-17,6897.0
1993-12-24,6854.0
1993-12-31,6857.0
1994-01-07,6875.0
1994-01-14,6880.0
1994-01-21,6845.0
1994-01-28,6886.0
1994-02-04,6836.0
1994-02-11,6802.0
1994-02-18,6546.0
1994-02-25,6792.0
1994-03-04,6763.0
1994-03-11,6704.0
1994-03-18,6728.0
1994-03-25,6599.0
1994-04-01,6683.0
1994-04-08,6641.0
1994-04-15,6711.0
1994-04-22,6292.0
1994-04-29,6748.0
1994-05-06,6706.0
1994-05-13,6657.0
1994-05-20,6732.0
1994-05-27,6629.0
1994-06-03,6695.0
1994-06-10,6530.0
1994-06-17,6648.0
1994-06-24,6656.0
1994-07-01,6604.0
1994-07-08,6591.0
1994-07-15,6618.0
1994-07-22,6522.0
1994-07-29,6566.0
1994-08-05,6582.0
1994-08-12,6521.0
1994-08-19,6540.0
1994-08-26,6583.0
1994-09-02,6552.0
1994-09-09,6545.0
1994-09-16,6526.0
1994-09-23,6595.0
1994-09-30,6640.0
1994-10-07,6692.0
1994-10-14,6703.0
1994-10-21,6703.0
1994-10-28,6633.0
1994-11-04,6620.0
1994-11-11,6616.0
1994-11-18,6668.0
1994-11-25,6626.0
1994-12-02,6472.0
1994-12-09,6670.0
1994-12-16,6655.0
1994-12-23,6703.0
1994-12-30,6675.0
1995-01-06,6651.0
1995-01-13,6672.0
1995-01-20,6571.0
1995-01-27,6526.0
1995-02-03,6662.0
1995-02-10,6595.0
1995-02-17,6613.0
1995-02-24,6546.0
1995-03-03,6660.0
1995-03-10,6598.0
1995-03-17,6632.0
1995-03-24,6474.0
1995-03-31,6380.0
1995-04-07,6554.0
1995-04-14,6597.0
1995-04-21,6603.0
1995-04-28,6539.0
1995-05-05,6604.0
1995-05-12,6610.0
1995-05-19,6598.0
1995-05-26,6626.0
1995-06-02,6592.0
1995-06-09,6593.0
1995-06-16,6560.0
1995-06-23,6529.0
1995-06-30,6545.0
1995-07-07,6518.0
1995-07-14,6448.0
1995-07-21,6417.0
1995-07-28,6484.0
1995-08-04,6444.0
1995-08-11,6476.0
1995-08-18,6475.0
1995-08-25,6483.0
1995-09-01,6507.0
1995-09-08,6491.0
1995-09-15,6248.0
1995-09-22,6414.0
1995-09-29,6450.0
1995-10-06,6215.0
1995-10-13,6404.0
1995-10-20,6497.0
1995-10-27,6512.0
1995-11-03,6539.0
1995-11-10,6516.0
1995-11-17,6493.0
1995-11-24,6484.0
1995-12-01,6450.0
1995-12-08,6428.0
1995-12-15,6411.0
1995-12-22,6467.0
1995-12-29,6474.0
1996-01-05,6464.0
1996-01-12,6498.0
1996-01-19,6516.0
1996-01-26,6405.0
1996-02-02,6413.0
1996-02-09,6505.0
1996-02-16,6511.0
1996-02-23,6501.0
1996-03-01,6496.0
1996-03-08,6461.0
1996-03-15,6490.0
1996-03-22,6473.0
1996-03-29,6440.0
1996-04-05,6441.0
1996-04-12,6390.0
1996-04-19,6425.0
1996-04-26,6173.0
1996-05-03,6454.0
1996-05-10,6065.0
