date,Oil_Stocks
1987-05-22,827225.0
1987-05-29,824387.0
1987-06-05,826689.0
1987-06-12,827429.0
1987-06-19,828312.0
1987-06-26,831226.0
1987-07-03,832132.0
1987-07-10,830849.0
1987-07-17,827036.0
1987-07-24,830873.0
1987-07-31,836747.0
1987-08-07,831468.0
1987-08-14,833262.0
1987-08-21,840508.0
1987-08-28,841422.0
1987-09-04,845465.0
1987-09-11,845005.0
1987-09-18,845642.0
1987-09-25,849438.0
1987-10-02,848080.0
1987-10-09,844855.0
1987-10-16,847983.0
1987-10-23,851818.0
1987-10-30,864201.0
1987-11-06,869362.0
1987-11-13,871678.0
1987-11-20,875509.0
1987-11-27,873521.0
1987-12-04,875851.0
1987-12-11,877201.0
1987-12-18,879721.0
1987-12-25,879336.0
1988-01-01,874314.0
1988-01-08,861844.0
1988-01-15,862053.0
1988-01-22,861245.0
1988-01-29,858440.0
1988-02-05,859847.0
1988-02-12,855598.0
1988-02-19,864088.0
1988-02-26,867717.0
1988-03-04,869420.0
1988-03-11,869831.0
1988-03-18,873580.0
1988-03-25,872216.0
1988-04-01,873464.0
1988-04-08,879484.0
1988-04-15,879480.0
1988-04-22,884261.0
1988-04-29,881732.0
1988-05-06,887593.0
1988-05-13,890802.0
1988-05-20,892721.0
1988-05-27,888805.0
1988-06-03,890957.0
1988-06-10,889280.0
1988-06-17,893477.0
1988-06-24,891199.0
1988-07-01,892007.0
1988-07-08,890187.0
1988-07-15,885007.0
1988-07-22,881794.0
1988-07-29,883710.0
1988-08-05,881982.0
1988-08-12,879618.0
1988-08-19,874852.0
1988-08-26,870652.0
1988-09-02,865685.0
1988-09-09,864719.0
1988-09-16,858179.0
1988-09-23,853974.0
1988-09-30,860182.0
1988-10-07,859596.0
1988-10-14,865096.0
1988-10-21,870245.0
1988-10-28,872404.0
1988-11-04,878098.0
1988-11-11,875519.0
1988-11-18,884503.0
1988-11-25,880588.0
1988-12-02,878419.0
1988-12-09,882921.0
1988-12-16,878157.0
1988-12-23,873932.0
1988-12-30,873167.0
1989-01-06,865484.0
1989-01-13,863426.0
1989-01-20,867699.0
1989-01-27,868194.0
1989-02-03,875807.0
1989-02-10,867901.0
1989-02-17,869093.0
1989-02-24,868629.0
1989-03-03,878921.0
1989-03-10,878057.0
1989-03-17,883938.0
1989-03-24,883413.0
1989-03-31,873367.0
1989-04-07,872737.0
1989-04-14,868793.0
1989-04-21,879185.0
1989-04-28,883997.0
1989-05-05,895047.0
1989-05-12,897795.0
1989-05-19,891310.0
1989-05-26,889909.0
1989-06-02,895289.0
1989-06-09,892553.0
1989-06-16,890135.0
1989-06-23,893650.0
1989-06-30,887176.0
1989-07-07,887810.0
1989-07-14,886281.0
1989-07-21,885624.0
1989-07-28,887725.0
1989-08-04,887592.0
1989-08-11,884553.0
1989-08-18,893519.0
1989-08-25,892770.0
1989-09-01,893339.0
1989-09-08,896173.0
1989-09-15,885661.0
1989-09-22,887135.0
1989-09-29,890249.0
1989-10-06,895525.0
1989-10-13,901350.0
1989-10-20,894932.0
1989-10-27,900068.0
1989-11-03,898681.0
1989-11-10,906613.0
1989-11-17,906781.0
1989-11-24,903612.0
1989-12-01,911872.0
1989-12-08,902906.0
1989-12-15,907860.0
1989-12-22,905214.0
1989-12-29,904134.0
1990-01-05,904076.0
1990-01-12,908047.0
1990-01-19,906401.0
1990-01-26,904351.0
1990-02-02,914727.0
1990-02-09,910241.0
1990-02-16,907794.0
1990-02-23,903218.0
1990-03-02,906741.0
1990-03-09,913559.0
1990-03-16,912113.0
1990-03-23,921348.0
1990-03-30,924282.0
1990-04-06,932221.0
1990-04-13,933138.0
1990-04-20,931578.0
1990-04-27,936163.0
1990-05-04,936904.0
1990-05-11,942503.0
1990-05-18,947177.0
1990-05-25,948900.0
1990-06-01,951799.0
1990-06-08,953667.0
1990-06-15,953182.0
1990-06-22,953885.0
1990-06-29,955394.0
1990-07-06,952344.0
1990-07-13,956879.0
1990-07-20,954702.0
1990-07-27,959271.0
1990-08-03,951525.0
1990-08-10,946681.0
1990-08-17,947535.0
1990-08-24,950649.0
1990-08-31,946333.0
1990-09-07,949206.0
1990-09-14,943559.0
1990-09-21,937834.0
1990-09-28,928007.0
1990-10-05,925894.0
1990-10-12,918375.0
1990-10-19,915615.0
1990-10-26,916857.0
1990-11-02,920758.0
1990-11-09,921253.0
1990-11-16,915231.0
1990-11-23,911584.0
1990-11-30,913758.0
1990-12-07,907428.0
1990-12-14,905846.0
1990-12-21,907684.0
1990-12-28,901612.0
1991-01-04,893234.0
1991-01-11,894131.0
1991-01-18,892742.0
1991-01-25,892735.0
1991-02-01,895841.0
1991-02-08,896124.0
1991-02-15,900784.0
1991-02-22,899428.0
1991-03-01,897522.0
1991-03-08,892038.0
1991-03-15,895651.0
1991-03-22,893991.0
1991-03-29,897685.0
1991-04-05,889746.0
1991-04-12,894244.0
1991-04-19,891158.0
1991-04-26,896702.0
1991-05-03,892623.0
1991-05-10,892389.0
1991-05-17,898381.0
1991-05-24,897808.0
1991-05-31,904685.0
1991-06-07,905491.0
1991-06-14,906290.0
1991-06-21,904911.0
1991-06-28,901859.0
1991-07-05,903062.0
1991-07-12,902012.0
1991-07-19,900227.0
1991-07-26,896458.0
1991-08-02,897147.0
1991-08-09,898861.0
1991-08-16,896942.0
1991-08-23,902246.0
1991-08-30,904148.0
1991-09-06,894389.0
1991-09-13,887822.0
1991-09-20,887953.0
1991-09-27,892660.0
1991-10-04,891572.0
1991-10-11,894905.0
1991-10-18,892445.0
1991-10-25,901266.0
1991-11-01,895148.0
1991-11-08,898963.0
1991-11-15,904101.0
1991-11-22,898093.0
1991-11-29,892636.0
1991-12-06,897629.0
1991-12-13,891591.0
1991-12-20,887439.0
1991-12-27,877359.0
1992-01-03,883325.0
1992-01-10,886822.0
1992-01-17,885646.0
1992-01-24,891317.0
1992-01-31,886901.0
1992-02-07,886715.0
1992-02-14,884910.0
1992-02-21,888085.0
1992-02-28,895106.0
1992-03-06,901404.0
1992-03-13,895959.0
1992-03-20,899490.0
1992-03-27,893970.0
1992-04-03,890369.0
1992-04-10,898825.0
1992-04-17,901631.0
1992-04-24,902433.0
1992-05-01,903887.0
1992-05-08,903227.0
1992-05-15,904522.0
1992-05-22,899933.0
1992-05-29,897287.0
1992-06-05,898109.0
1992-06-12,898908.0
1992-06-19,892607.0
1992-06-26,882710.0
1992-07-03,881717.0
1992-07-10,884380.0
1992-07-17,878013.0
1992-07-24,877987.0
1992-07-31,883778.0
1992-08-07,882007.0
1992-08-14,881014.0
1992-08-21,885873.0
1992-08-28,878737.0
1992-09-04,880886.0
1992-09-11,880433.0
1992-09-18,881269.0
1992-09-25,876535.0
1992-10-02,880511.0
1992-10-09,879730.0
1992-10-16,883838.0
