Date,Weekly U.S. Commercial Crude Oil Imports Excluding SPR  (Thousand Barrels per Day)
20-Aug-82,3459
27-Aug-82,3354
24-Sep-82,3494
1-Oct-82,2954
8-Oct-82,3008
15-Oct-82,3199
22-Oct-82,3774
29-Oct-82,3736
5-Nov-82,3540
12-Nov-82,2924
19-Nov-82,3371
26-Nov-82,3795
3-Dec-82,4117
10-Dec-82,2822
17-Dec-82,2857
24-Dec-82,3237
31-Dec-82,2276
7-Jan-83,2818
14-Jan-83,2492
21-Jan-83,3145
28-Jan-83,2812
4-Feb-83,2919
11-Feb-83,2008
18-Feb-83,1701
25-Feb-83,1778
4-Mar-83,1761
11-Mar-83,2053
18-Mar-83,1922
25-Mar-83,1741
1-Apr-83,2724
8-Apr-83,2167
15-Apr-83,3093
29-Apr-83,3232
13-May-83,2857
20-May-83,3594
3-Jun-83,3014
10-Jun-83,3510
17-Jun-83,3311
24-Jun-83,3347
1-Jul-83,2932
8-Jul-83,3619
15-Jul-83,3672
22-Jul-83,4501
29-Jul-83,3382
5-Aug-83,3612
12-Aug-83,4042
19-Aug-83,4135
26-Aug-83,3214
2-Sep-83,3917
9-Sep-83,4900
16-Sep-83,3778
23-Sep-83,3565
30-Sep-83,3817
7-Oct-83,4614
14-Oct-83,2964
21-Oct-83,3337
28-Oct-83,3778
4-Nov-83,3123
11-Nov-83,3872
18-Nov-83,2754
25-Nov-83,3164
2-Dec-83,2953
9-Dec-83,3633
16-Dec-83,3186
23-Dec-83,3447
30-Dec-83,2465
6-Jan-84,3159
13-Jan-84,2859
20-Jan-84,3064
27-Jan-84,2824
3-Feb-84,3306
10-Feb-84,2252
17-Feb-84,3372
24-Feb-84,3225
2-Mar-84,2734
9-Mar-84,3900
16-Mar-84,3608
23-Mar-84,3080
30-Mar-84,3185
6-Apr-84,3247
13-Apr-84,3428
20-Apr-84,3025
27-Apr-84,3415
4-May-84,3400
11-May-84,3539
18-May-84,4029
25-May-84,2831
1-Jun-84,4117
8-Jun-84,3182
15-Jun-84,3895
22-Jun-84,2860
29-Jun-84,3746
6-Jul-84,3557
13-Jul-84,3623
20-Jul-84,3782
27-Jul-84,2676
3-Aug-84,2840
10-Aug-84,3556
17-Aug-84,3218
24-Aug-84,3013
31-Aug-84,2705
7-Sep-84,3483
14-Sep-84,3037
21-Sep-84,2396
28-Sep-84,3284
5-Oct-84,3746
12-Oct-84,3714
19-Oct-84,3436
26-Oct-84,3457
2-Nov-84,3691
9-Nov-84,4492
16-Nov-84,3282
23-Nov-84,2809
30-Nov-84,2974
7-Dec-84,2938
14-Dec-84,3590
21-Dec-84,3570
28-Dec-84,2576
4-Jan-85,2593
11-Jan-85,3193
18-Jan-85,2685
25-Jan-85,2260
1-Feb-85,2524
8-Feb-85,2264
15-Feb-85,2579
22-Feb-85,2424
1-Mar-85,1760
8-Mar-85,2572
15-Mar-85,3320
22-Mar-85,3132
29-Mar-85,3259
5-Apr-85,2727
12-Apr-85,3496
19-Apr-85,3093
26-Apr-85,3688
3-May-85,4316
10-May-85,2902
17-May-85,3885
24-May-85,3578
31-May-85,3247
7-Jun-85,2749
14-Jun-85,3666
21-Jun-85,2745
28-Jun-85,3180
5-Jul-85,3352
12-Jul-85,3418
19-Jul-85,2441
26-Jul-85,2577
2-Aug-85,3098
9-Aug-85,2564
16-Aug-85,2674
23-Aug-85,2319
30-Aug-85,2908
6-Sep-85,2763
13-Sep-85,2496
20-Sep-85,3732
27-Sep-85,2954
4-Oct-85,4108
